car_name,model,mpg,odometer,miles,gallons,price,city_percentage,fuelup_date,date_added,tags,notes,missed_fuelup,partial_fuelup,latitude,longitude,brand
Civic,Honda Civic,32.4,23114.0,312.0,9.617,3.199,60,2025-01-04,2025-01-05 03:41:36,,,0,0,37.7039,-122.3332,Costco
Civic,Honda Civic,34.4,23434.0,320.0,9.301,3.159,60,2025-01-16,2025-01-17 06:54:32,,,0,0,37.7594,-122.3420,Shell
Civic,Honda Civic,31.1,23772.0,338.0,10.880,3.579,70,2025-01-22,2025-01-23 02:15:27,,Winter blend,0,0,37.7474,-122.3336,Chevron
Civic,Honda Civic,31.8,24106.0,334.0,10.507,3.159,40,2025-01-31,2025-02-01 05:51:46,,,0,0,37.7993,-122.3178,Arco
Civic,Honda Civic,30.9,24429.0,323.0,10.447,3.159,60,2025-02-10,2025-02-11 07:52:32,,,0,0,37.7023,-122.3538,Costco
Civic,Honda Civic,30.9,24753.0,324.0,10.501,3.579,50,2025-02-16,2025-02-17 02:41:13,,,0,0,37.7218,-122.3713,Costco
Civic,Honda Civic,,24877.0,124.0,5.666,3.099,50,2025-02-26,2025-02-27 07:35:41,,"Only half a tank, station was cash only",0,1,37.7081,-122.3551,76
Civic,Honda Civic,29.0,25221.0,344.0,10.462,3.249,60,2025-03-04,2025-03-05 03:37:45,,,0,0,37.7278,-122.3585,Costco
Civic,Honda Civic,35.7,25562.0,341.0,9.565,3.299,60,2025-03-13,2025-03-14 07:24:19,,,0,0,37.7083,-122.3849,Shell
Civic,Honda Civic,38.2,25850.0,288.0,7.539,3.519,50,2025-03-19,2025-03-20 01:41:47,,"Road trip to Tahoe, mostly highway",0,0,37.7182,-122.3718,Chevron
Civic,Honda Civic,32.4,26193.0,343.0,10.602,3.199,50,2025-03-25,2025-03-26 07:44:33,,,0,0,37.7610,-122.3681,Arco
Civic,Honda Civic,33.9,26537.0,344.0,10.139,3.249,50,2025-04-02,2025-04-03 09:49:51,,,0,0,37.7676,-122.3946,Costco
Civic,Honda Civic,33.8,26819.0,282.0,8.347,3.159,70,2025-04-12,2025-04-13 07:35:35,,,0,0,37.7104,-122.3366,Costco
Civic,Honda Civic,,26932.0,113.0,5.493,3.519,40,2025-04-21,2025-04-22 04:14:23,,Topped off before the pass,0,1,37.7441,-122.3890,76
Civic,Honda Civic,28.6,27242.0,310.0,9.311,3.459,40,2025-04-29,2025-04-30 02:10:46,,,0,0,37.7151,-122.3899,Costco
Civic,Honda Civic,32.0,27550.0,308.0,9.628,3.199,60,2025-05-10,2025-05-11 01:14:23,,,0,0,37.7614,-122.3851,Shell
Civic,Honda Civic,31.0,27851.0,301.0,9.712,3.299,60,2025-05-20,2025-05-21 06:48:33,,,0,0,37.7474,-122.3885,Chevron
Civic,Honda Civic,35.8,28184.0,333.0,9.314,3.459,70,2025-05-28,2025-05-29 08:40:40,,New tires last week,0,0,37.7312,-122.3856,Arco
Civic,Honda Civic,36.4,28531.0,347.0,9.538,3.159,60,2025-06-07,2025-06-08 05:40:54,,,0,0,37.7161,-122.3977,Costco
Civic,Honda Civic,38.2,28854.0,323.0,8.455,3.199,60,2025-06-19,2025-06-20 03:54:44,,,0,0,37.7914,-122.3242,Costco
